tarih,ürün,bölge,satış_temsilcisi,miktar,birim_fiyat,indirim_oranı,toplam_satış
2023-04-13,Monitor,Antalya,Mehmet Kaya,8,1217.3840441842215,0.04680559213273095,9283.229305145922
2024-04-11,Phone,İzmir,Mehmet Kaya,4,328.5902949477845,0.19526654188465586,1057.7104174258861
2023-11-05,Mouse,Bursa,Ayşe Demir,1,643.2723737710986,0.15742692948967135,542.0039791427824
2024-07-14,Keyboard,İzmir,Ayşe Demir,16,503.90411383909327,0.02718193035984624,7843.312436938863
2024-07-16,Monitor,Bursa,Ali Yılmaz,3,1726.883793135825,0.2040922615763339,4123.32052294565
2023-06-16,Mouse,Bursa,Ali Yılmaz,14,1626.3748288270992,0.0913841307520112,20688.49970344897
2024-07-18,Mouse,Bursa,Fatma Özkan,15,1382.3638617096435,0.18299899733478628,16940.889915974032
2023-02-04,Tablet,İstanbul,Fatma Özkan,18,1341.9184544902648,0.09351332282682329,21895.76161526841
2024-01-25,Tablet,Ankara,Fatma Özkan,18,1561.5090055541734,0.28184968246925673,20185.16738698521
2023-09-27,Phone,Bursa,Ali Yılmaz,8,1696.8410049223953,0.22419603304121424,10531.327863337014
2023-02-22,Mouse,İstanbul,Fatma Özkan,13,324.80223870078714,0.2406590942262119,3206.263139721328
2023-03-06,Laptop,İstanbul,Ali Yılmaz,12,622.3019407001743,0.004223946814525336,7436.080444800971
2024-05-13,Laptop,İzmir,Mehmet Kaya,1,1231.6219508229722,0.2778902635540047,889.366202309879
2023-02-10,Monitor,İstanbul,Fatma Özkan,2,236.04972715630205,0.11124547565947991,419.58052595901756
2024-07-27,Headphones,İzmir,Fatma Özkan,8,585.7074963306251,0.16837302775431034,3896.721214360329
2024-09-04,Phone,İzmir,Ali Yılmaz,5,1144.4905352605176,0.2312901539863683,4398.905715620856
2024-01-28,Phone,Ankara,Ayşe Demir,13,443.3524445540226,0.2687290787020558,4214.739757653306
2023-08-29,Monitor,Antalya,Fatma Özkan,5,536.1198468403061,0.12311487691068891,2350.577589435922
2023-06-20,Headphones,Bursa,Can Arslan,7,615.0153331818476,0.04836638617620132,4096.884848510224
2024-07-31,Mouse,Antalya,Ali Yılmaz,6,940.242412441675,0.06553213116505008,5271.757940055625
2023-12-06,Tablet,İzmir,Ayşe Demir,7,1818.3154610142203,0.0816396748153906,11689.081446456556
2023-10-10,Tablet,İstanbul,Fatma Özkan,13,1728.4246373498697,0.002085639159357211,22422.6569741488
2024-03-31,Keyboard,İstanbul,Can Arslan,1,283.7374663006815,0.10128455142108839,254.99924430506078
2024-01-09,Laptop,Bursa,Ali Yılmaz,17,545.1350571719722,0.07406281885158035,8580.933909110974
2024-01-21,Keyboard,İstanbul,Can Arslan,17,1995.5939458454366,0.0800343042825855,31209.925536905674
2023-01-02,Mouse,Bursa,Can Arslan,1,1286.9851221676595,0.20421163546643004,1024.1677855488385
2023-02-22,Monitor,Ankara,Fatma Özkan,11,770.8261893197387,0.07264798148322776,7863.099448503765
2023-10-21,Headphones,Bursa,Ayşe Demir,6,827.7076627668785,0.24492956196581517,3749.8655249378294
2023-05-24,Laptop,İstanbul,Fatma Özkan,6,1406.8349732422196,0.2575076414441159,6267.385304289118
2024-02-07,Mouse,İzmir,Mehmet Kaya,7,390.0145365597333,0.20728132143073977,2164.20265631104
2024-10-01,Phone,Ankara,Ali Yılmaz,11,715.0793845480041,0.03404205637217672,7598.102730115035
2023-05-31,Phone,Ankara,Mehmet Kaya,7,1336.9688897666492,0.24516666006036475,7064.32084720562
2024-07-25,Laptop,Ankara,Ali Yılmaz,16,1932.5677350131475,0.16748803608212928,25742.172167681707
2023-06-09,Keyboard,İstanbul,Ali Yılmaz,3,1415.697768446904,0.25399834267149174,3168.3386446129834
2024-02-08,Tablet,İstanbul,Fatma Özkan,11,1874.4882387308478,0.23560219533418306,15761.401640135293
2023-04-14,Monitor,İzmir,Ali Yılmaz,3,1948.6444816728688,0.08517629242123971,5347.998508430596
2023-12-04,Mouse,İzmir,Can Arslan,9,393.0542427208235,0.00542260908465626,3518.3057689213456
2024-02-02,Headphones,Bursa,Mehmet Kaya,17,650.718544112159,0.1627620691664698,9261.70620626701
2024-04-14,Phone,Antalya,Mehmet Kaya,8,1280.7203206946626,0.23844339106249451,7802.728195404654
2024-08-31,Monitor,İstanbul,Can Arslan,16,597.5061067596688,0.007294789929436152,9490.358803668829
2023-02-18,Laptop,Bursa,Fatma Özkan,14,1833.9855609298745,0.11104761007663332,22824.561864629813
2023-02-06,Headphones,İstanbul,Can Arslan,3,1961.646588246289,0.022603876801838462,5751.917311310469
2023-09-10,Headphones,İstanbul,Mehmet Kaya,18,1135.762461793783,0.2808464322482343,14702.177277315497
2024-07-23,Keyboard,Ankara,Ayşe Demir,10,1760.877490259513,0.22223058532626133,13695.566549113033
2024-01-28,Keyboard,Antalya,Ayşe Demir,3,549.6035400091932,0.18345411325970415,1346.329529797237
2024-05-20,Phone,İstanbul,Fatma Özkan,13,428.8342093484824,0.021282275099978296,5456.199342527002
2024-02-04,Tablet,Bursa,Mehmet Kaya,15,782.3867576478908,0.028194581952260697,11404.915351365356
2024-12-27,Phone,İzmir,Ali Yılmaz,17,122.82896806096811,0.24678016819789747,1572.7926492762397
2023-02-23,Keyboard,Bursa,Can Arslan,1,1664.3445573857978,0.08146287474592256,1528.7622651734207
2024-09-11,Headphones,Bursa,Can Arslan,15,1414.048810996028,0.041505927725340404,20330.36104870085
2024-10-17,Headphones,Ankara,Fatma Özkan,10,679.7651222354297,0.23855585843061108,5176.031699693674
2024-08-26,Mouse,Ankara,Can Arslan,9,1392.5748064924644,0.01745807865253308,12314.368133920647
2024-09-25,Laptop,Ankara,Ali Yılmaz,8,1872.497294812434,0.1914811781530051,12111.594453707472
2023-07-08,Phone,Antalya,Can Arslan,3,533.075429527257,0.10679180359537847,1428.4420288669805
2023-03-27,Laptop,Antalya,Fatma Özkan,5,233.60612712369223,0.09342399281738825,1058.9085499059527
2024-03-28,Monitor,Ankara,Ayşe Demir,16,1623.48030524902,0.10389129632682023,23277.0373084102
2023-09-11,Tablet,Antalya,Ayşe Demir,10,1900.8341766032026,0.2660041161894143,13952.044614332348
2023-06-29,Phone,Ankara,Ayşe Demir,19,1031.115704231171,0.25694695235649667,14557.29966353893
